SID,outcome,group,time
10163,lonely,behavior,no time
10163,lonely,behavior,time
10163,lonely,full,time
10163,lonely,psychological,no time
10163,lonely,psychological,time
10163,lonely,situation,no time
10163,lonely,situation,time
10163,pain,behavior,no time
10163,pain,behavior,time
10163,pain,full,time
10163,pain,psychological,no time
10163,pain,psychological,time
10163,pain,situation,no time
10163,pain,situation,time
10277,lonely,behavior,no time
10277,lonely,behavior,time
10277,lonely,full,time
10277,lonely,psychological,no time
10277,lonely,psychological,time
10277,lonely,situation,no time
10277,lonely,situation,time
10277,pain,behavior,no time
10277,pain,behavior,time
10277,pain,full,time
10277,pain,psychological,no time
10277,pain,psychological,time
10277,pain,situation,no time
10277,pain,situation,time
10297,lonely,behavior,no time
10297,lonely,behavior,time
10297,lonely,full,time
10297,lonely,psychological,no time
10297,lonely,psychological,time
10297,lonely,situation,no time
10297,lonely,situation,time
10297,pain,behavior,no time
10297,pain,behavior,time
10297,pain,full,time
10297,pain,psychological,no time
10297,pain,psychological,time
10297,pain,situation,no time
10297,pain,situation,time
10299,lonely,behavior,no time
10299,lonely,behavior,time
10299,lonely,full,time
10299,lonely,psychological,no time
10299,lonely,psychological,time
10299,lonely,situation,no time
10299,lonely,situation,time
10299,pain,behavior,no time
10299,pain,behavior,time
10299,pain,full,time
10299,pain,psychological,no time
10299,pain,psychological,time
10299,pain,situation,no time
10299,pain,situation,time
10455,lonely,behavior,no time
10455,lonely,behavior,time
10455,lonely,full,time
10455,lonely,psychological,no time
10455,lonely,psychological,time
10455,lonely,situation,no time
10455,lonely,situation,time
10455,pain,behavior,no time
10455,pain,behavior,time
10455,pain,full,time
10455,pain,psychological,no time
10455,pain,psychological,time
10455,pain,situation,no time
10455,pain,situation,time
10468,lonely,behavior,no time
10468,lonely,behavior,time
10468,lonely,full,time
10468,lonely,psychological,no time
10468,lonely,psychological,time
10468,lonely,situation,no time
10468,lonely,situation,time
10468,pain,behavior,no time
10468,pain,behavior,time
10468,pain,full,time
10468,pain,psychological,no time
10468,pain,psychological,time
10468,pain,situation,no time
10468,pain,situation,time
10514,lonely,behavior,no time
10514,lonely,behavior,time
10514,lonely,full,time
10514,lonely,psychological,no time
10514,lonely,psychological,time
10514,lonely,situation,no time
10514,lonely,situation,time
10514,pain,behavior,no time
10514,pain,behavior,time
10514,pain,full,time
10514,pain,psychological,no time
10514,pain,psychological,time
10514,pain,situation,no time
10514,pain,situation,time
10644,lonely,behavior,no time
10644,lonely,behavior,time
10644,lonely,full,time
10644,lonely,psychological,no time
10644,lonely,psychological,time
10644,lonely,situation,no time
10644,lonely,situation,time
10644,pain,behavior,no time
10644,pain,behavior,time
10644,pain,full,time
10644,pain,psychological,no time
10644,pain,psychological,time
10644,pain,situation,no time
10644,pain,situation,time
10683,lonely,behavior,no time
10683,lonely,behavior,time
10683,lonely,full,time
10683,lonely,psychological,no time
10683,lonely,psychological,time
10683,lonely,situation,no time
10683,lonely,situation,time
10683,pain,behavior,no time
10683,pain,behavior,time
10683,pain,full,time
10683,pain,psychological,no time
10683,pain,psychological,time
10683,pain,situation,no time
10683,pain,situation,time
10698,lonely,behavior,no time
10698,lonely,behavior,time
10698,lonely,full,time
10698,lonely,psychological,no time
10698,lonely,psychological,time
10698,lonely,situation,no time
10698,lonely,situation,time
10698,pain,behavior,no time
10698,pain,behavior,time
10698,pain,full,time
10698,pain,psychological,no time
10698,pain,psychological,time
10698,pain,situation,no time
10698,pain,situation,time
10753,lonely,behavior,no time
10753,lonely,behavior,time
10753,lonely,full,time
10753,lonely,psychological,no time
10753,lonely,psychological,time
10753,lonely,situation,no time
10753,lonely,situation,time
10753,pain,behavior,no time
10753,pain,behavior,time
10753,pain,full,time
10753,pain,psychological,no time
10753,pain,psychological,time
10753,pain,situation,no time
10753,pain,situation,time
10841,lonely,behavior,no time
10841,lonely,behavior,time
10841,lonely,full,time
10841,lonely,psychological,no time
10841,lonely,psychological,time
10841,lonely,situation,no time
10841,lonely,situation,time
10841,pain,behavior,no time
10841,pain,behavior,time
10841,pain,full,time
10841,pain,psychological,no time
10841,pain,psychological,time
10841,pain,situation,no time
10841,pain,situation,time
10846,lonely,behavior,no time
10846,lonely,behavior,time
10846,lonely,full,time
10846,lonely,psychological,no time
10846,lonely,psychological,time
10846,lonely,situation,no time
10846,lonely,situation,time
10846,pain,behavior,no time
10846,pain,behavior,time
10846,pain,full,time
10846,pain,psychological,no time
10846,pain,psychological,time
10846,pain,situation,no time
10846,pain,situation,time
10858,lonely,behavior,no time
10858,lonely,behavior,time
10858,lonely,full,time
10858,lonely,psychological,no time
10858,lonely,psychological,time
10858,lonely,situation,no time
10858,lonely,situation,time
10858,pain,behavior,no time
10858,pain,behavior,time
10858,pain,full,time
10858,pain,psychological,no time
10858,pain,psychological,time
10858,pain,situation,no time
10858,pain,situation,time
10872,lonely,behavior,no time
10872,lonely,behavior,time
10872,lonely,full,time
10872,lonely,psychological,no time
10872,lonely,psychological,time
10872,lonely,situation,no time
10872,lonely,situation,time
10872,pain,behavior,no time
10872,pain,behavior,time
10872,pain,full,time
10872,pain,psychological,no time
10872,pain,psychological,time
10872,pain,situation,no time
10872,pain,situation,time
10875,lonely,behavior,no time
10875,lonely,behavior,time
10875,lonely,full,time
10875,lonely,psychological,no time
10875,lonely,psychological,time
10875,lonely,situation,no time
10875,lonely,situation,time
10875,pain,behavior,no time
10875,pain,behavior,time
10875,pain,full,time
10875,pain,psychological,no time
10875,pain,psychological,time
10875,pain,situation,no time
10875,pain,situation,time
10883,lonely,behavior,no time
10883,lonely,behavior,time
10883,lonely,full,time
10883,lonely,psychological,no time
10883,lonely,psychological,time
10883,lonely,situation,no time
10883,lonely,situation,time
10883,pain,behavior,no time
10883,pain,behavior,time
10883,pain,full,time
10883,pain,psychological,no time
10883,pain,psychological,time
10883,pain,situation,no time
10883,pain,situation,time
10927,lonely,behavior,no time
10927,lonely,behavior,time
10927,lonely,full,time
10927,lonely,psychological,no time
10927,lonely,psychological,time
10927,lonely,situation,no time
10927,lonely,situation,time
10927,pain,behavior,no time
10927,pain,behavior,time
10927,pain,full,time
10927,pain,psychological,no time
10927,pain,psychological,time
10927,pain,situation,no time
10927,pain,situation,time
10943,lonely,behavior,no time
10943,lonely,behavior,time
10943,lonely,full,time
10943,lonely,psychological,no time
10943,lonely,psychological,time
10943,lonely,situation,no time
10943,lonely,situation,time
10943,pain,behavior,no time
10943,pain,behavior,time
10943,pain,full,time
